AppID,GameName
3115220,Town to City
2016460,Tales of the Shire: A The Lord of The Rings™ Game
3483740,Cast n Chill
2949320,Ratatan
1601330,Survival Machine
1299460,Wanderstop
2918500,Cozy Island
3213850,gogh: Focus with Your Avatar
1401730,Crashlands 2
2816950,Yaoling: Mythical Journey
3035120,Is This Seat Taken?
1136380,Ultimate Fishing® Simulator 2
2658510,Animal Shelter 2
1313290,Let Them Trade
2788520,Cozy Caravan
1296400,Architect Life: A House Design Simulator
832360,Hotel Magnate
3265070,City Tales - Medieval Era
3047750,Herdling
2094910,Pile Up!
2487150,Deconstruction Simulator
1429880,Little Sim World
3404470,Maltese's Fluffy Onsen
3069120,Love Curse: Find Your Soulmate
3558400,Backseat Drivers
2212670,MakeRoom
3151380,Small Spaces
2240080,Spilled!
2286780,Aeruta
2843190,Camper Van: Make it Home
1602000,Hotel Architect
2957700,Sensei! I Like You So Much!
2678830,Halcyon Days at Taoyuan
3180150,Mall Simulator
1778840,Spirit of the North 2
2368930,ISLANDERS: New Shores
1957760,Islands & Trains
2744010,Urban Jungle
2714620,Duck Detective: The Ghost of Glamping
4015530,MyVoiceZoo
2665460,Windward Horizon
1940200,Chill Town
2194730,ServiceIT: You can do IT
1779030,So to Speak
3496000,"Ship, Inc."
2712380,Legends of Dragaea: Idle Dungeons
1917850,Haunted House Renovator
1346840,Dead Reset
3769130,Keep on Mining!
2226430,CraftCraft: Fantasy Merchant Simulator
2923390,Clothing Store Simulator
3266090,IT Specialist Simulator
3618390,Gamblers Table
3097300,Creature Kitchen
2342690,Call of Boba
3363270,Fischer's Fishing Journey
3218530,Best Served Cold
2891020,Undusted: Letters from the Past
3511030,Mini Cozy Room: Lo-Fi
3609750,Organized Inside
3177890,Rana Card
3981100,Leaf it Alone
3064030,Whimside
3399960,Fish to Dish: Idle Sushi
3606830,Life in The Janitor's Room with A JK Girl
2390230,The Chef's Shift
2096030,Snow Plowing Simulator
3370870,Berry Bury Berry
3003460,Bang Bang Barrage
1793330,Brew
3036010,Coin Push RPG
3422270,Terra Firma 2
2871440,Squeakross: Home Squeak Home
4067130,Drifter Star: Evolution
3694480,A Game About Feeding A Black Hole
2760790,Another Farm Roguelike: Rebirth
2915380,Ways of Alchemy
2654540,无休仙途
3613270,Star Ores Inc.
2718240,PolyPine
3208560,Trainatic
3659410,"Your Big, Cute Monster Farm"
3204020,Juufuutei Raden™'s Guide for Pixel Museum
2185030,Dealer's Life Legend
2827680,Block Factory
3136330,Tiny Terraces
3362960,Twinkleby
4030290,Mamon King
2817390,FALLEN GF
3124550,Liquor Store Simulator
2428800,Nom Nom: Cozy Forest Café
2811530,Candy Shop Simulator
3651310,Little Corners
3327470,Cinemaster Cinema Simulator
2988300,Bugtopia
3521410,Cats & Cups
3355800,Bank Simulator
3058360,Parisian Brasserie Simulator
3140120,Wordatro!
2402630,Egypt Frontiers
