AppID,GameName
346110,ARK: Survival Evolved
227300,Euro Truck Simulator 2
252490,Rust
413150,Stardew Valley
105600,Terraria
275850,No Man's Sky
4000,Garry's Mod
242760,The Forest
322330,Don't Starve Together
1260320,Party Animals
648800,Raft
264710,Subnautica
294100,RimWorld
477160,Human Fall Flat
361420,ASTRONEER
305620,The Long Dark
367520,Hollow Knight
457140,Oxygen Not Included
427520,Factorio
526870,Satisfactory
588650,Dead Cells
282070,This War of Mine
379430,Kingdom Come: Deliverance
391540,Undertale
250900,The Binding of Isaac: Rebirth
262060,Darkest Dungeon®
1332010,Stray
244210,Assetto Corsa
268910,Cuphead
508440,Totally Accurate Battle Simulator
313120,Stranded Deep
632360,Risk of Rain 2
686810,Hell Let Loose
219640,Chivalry: Medieval Warfare
1145360,Hades
233860,Kenshi
220200,Kerbal Space Program
644930,They Are Billions
222880,Insurgency
211820,Starbound
362890,Black Mesa
613100,House Flipper
433340,Slime Rancher
581320,Insurgency: Sandstorm
285900,Gang Beasts
848450,Subnautica: Below Zero
646570,Slay the Spire
690830,Foundation
393420,Hurtworld
286160,Tabletop Simulator
1868140,DAVE THE DIVER
899770,Last Epoch
632470,Disco Elysium - The Final Cut
728880,Overcooked! 2
246620,Plague Inc: Evolved
1167630,Teardown
219740,Don't Starve
233450,Prison Architect
1527950,Wartales
535930,Two Point Hospital
383870,Firewatch
235540,Warhammer: End Times - Vermintide
1057090,Ori and the Will of the Wisps
424840,Little Nightmares
48700,Mount & Blade: Warband
414340,Hellblade: Senua's Sacrifice
597820,BIOMUTANT
240720,Getting Over It with Bennett Foddy
2198150,Tiny Glade
666140,My Time at Portia
881100,Noita
414700,Outlast 2
313630,The Solus Project
257510,The Talos Principle
753640,Outer Wilds
304430,INSIDE
629760,MORDHAU
621060,PC Building Simulator
392110,ENDLESS™ Space 2
418240,Shadow Tactics: Blades of the Shogun
322170,Geometry Dash
992300,嗜血印 Bloody Spell
1621690,Core Keeper
860510,Little Nightmares II
880940,Pummel Party
736220,Squad 44
620980,Beat Saber
311690,Enter the Gungeon
320240,We Happy Few
291650,Pillars of Eternity
739540,Break the Game
526160,The Wild Eight
674940,Stick Fight: The Game
644560,Mirror
774171,Muse Dash
289130,ENDLESS™ Legend
641990,The Escapists 2
1158160,Coral Island
24240,PAYDAY™ The Heist
238460,BattleBlock Theater®
242920,Banished
516750,My Summer Car
1794680,Vampire Survivors
1562430,DREDGE
1084600,My Time at Sandrock
527230,For The King
373420,Divinity: Original Sin - Enhanced Edition
683320,GRIS
322500,SUPERHOT
568220,Lobotomy Corporation | Monster Management Simulation
955050,Bright Memory
1217060,Gunfire Reborn
1605220,Dune: Spice Wars
228380,Wreckfest
599140,Graveyard Keeper
282140,SOMA
858810,Dawn of Man
253250,Stonehearth
859570,Secret Neighbor: Hello Neighbor Multiplayer
1210320,Potion Craft: Alchemist Simulator
837470,Untitled Goose Game
238320,Outlast
704850,Thief Simulator
387290,Ori and the Blind Forest: Definitive Edition
3590,Plants vs. Zombies GOTY Edition
239030,"Papers, Please"
972660,Spiritfarer®: Farewell Edition
341800,Keep Talking and Nobody Explodes
210970,The Witness
285920,TerraTech
396750,EVERSPACE™
280790,Creativerse
955900,Amazing Cultivation Simulator
1147560,Skul: The Hero Slayer
751780,Forager
1066780,Transport Fever 2
747660,Five Nights at Freddy's: Security Breach
274190,Broforce
554620,Life is Strange: Before the Storm
1244090,Sea of Stars
504230,Celeste
248390,Craft The World
527430,"Warhammer 40,000: Inquisitor - Martyr"
257850,Hyper Light Drifter
403190,Planetbase
501300,What Remains of Edith Finch
1369630,ENDER LILIES: Quietus of the Knights
692850,Bloodstained: Ritual of the Night
977880,Eastward
