appid,hw_ram_gb,hw_storage_gb,hw_has_gpu_req,parse_success
1296830,4.0,8.0,1,True
1190970,8.0,10.0,1,True
1435790,4.0,18.0,1,True
2273430,8.0,18.0,1,True
386070,8.0,5.0,1,True
204300,2.0,3.5,1,True
1069640,8.0,12.0,1,True
2239150,4.0,1.0,1,True
283640,1.0,2.0,1,True
610370,8.0,20.0,1,True
247080,0.977,1.562,1,True
242640,3.0,8.0,1,True
953490,1.0,0.488,0,True
653530,4.0,2.0,1,True
557340,4.0,4.0,1,True
410900,8.0,3.0,1,True
280160,8.0,6.0,1,True
365450,0.5,0.488,0,True
291860,4.0,3.0,0,True
304650,1.0,0.684,1,True
1291340,4.0,1.0,0,True
300380,8.0,0.977,1,True
942970,4.0,2.0,1,True
977950,2.0,1.465,1,True
553420,8.0,2.0,1,True
276810,4.0,8.0,1,True
638230,4.0,4.0,1,True
368340,2.0,1.0,0,True
2835570,2.0,0.488,1,True
269770,1.0,1.0,1,True
319510,1.0,0.244,1,True
245170,2.0,14.0,1,True
746850,8.0,7.0,1,True
420530,4.0,1.0,0,True
323850,8.0,1.0,1,True
487120,8.0,20.0,1,True
1455840,3.0,0.635,1,True
1740720,4.0,2.0,1,True
258520,6.0,9.0,1,True
1388880,4.0,3.0,0,True
1929610,16.0,20.0,1,True
1189490,8.0,15.0,0,True
1509510,4.0,1.0,1,True
1669980,8.0,5.0,1,True
206440,0.5,0.098,0,True
1040200,16.0,35.0,1,True
266510,4.0,5.0,1,True
2138710,8.0,22.0,1,True
671440,8.0,1.0,1,True
391720,4.0,5.0,1,True
221910,2.0,3.0,1,True
464060,4.0,10.0,1,True
404680,4.0,5.0,1,True
868360,4.0,1.0,1,True
1361510,4.0,1.0,1,True
1135690,2.0,1.0,1,False
207140,3.0,0.781,0,True
552620,2.0,10.0,1,True
493490,4.0,10.0,1,True
326460,1.0,0.488,0,True
417290,3.0,5.0,1,True
919640,4.0,50.0,1,True
1239080,4.0,2.0,1,True
451020,4.0,10.0,1,True
246900,4.0,5.0,1,True
269210,8.0,4.0,1,True
237850,3.0,12.0,1,True
1232580,4.0,13.0,1,True
1954200,12.0,25.0,1,True
419480,8.0,15.0,1,True
1766740,4.0,3.0,1,True
113200,1.0,0.049,0,True
894020,8.0,5.0,1,True
397950,4.0,0.488,0,True
1177980,4.0,4.0,1,True
212680,1.0,0.171,1,True
356040,1.0,0.586,1,True
580200,6.0,4.0,1,True
327860,2.0,0.684,0,True
502520,2.0,2.0,1,True
315460,1.0,0.488,1,True
1509960,4.0,0.098,0,True
239820,2.0,1.0,0,True
462770,4.0,9.0,1,True
758870,4.0,0.537,0,True
1433140,8.0,30.0,1,True
761830,4.0,5.0,1,True
250760,2.0,0.244,0,True
257420,8.0,42.0,1,True
1282730,2.0,0.293,1,True
383980,0.5,0.293,1,True
846770,2.0,0.75,0,True
505230,8.0,25.0,1,True
456670,4.0,4.0,1,True
1368030,4.0,10.0,1,True
455980,8.0,3.0,1,True
1178490,8.0,15.0,1,True
1016920,4.0,2.0,1,True
541210,2.0,2.0,0,True
494430,6.0,8.0,1,True
337320,2.0,2.0,1,True
361280,2.0,0.146,0,True
1063420,8.0,7.0,1,True
1123770,4.0,2.0,1,True
895870,4.0,16.0,1,True
356650,2.0,1.0,1,True
609320,4.0,3.0,1,True
1276790,8.0,15.0,1,True
4920,6.0,13.0,1,True
622650,8.0,2.0,0,True
594330,6.0,10.0,1,True
1164940,8.0,35.0,1,True
312530,1.0,0.146,0,True
286000,2.0,2.0,1,True
293780,2.0,0.391,1,True
324510,4.0,5.0,1,True
1253920,8.0,2.0,1,True
260230,2.0,2.0,1,True
1106840,8.0,10.0,1,True
813230,1.0,0.034,1,True
1149620,8.0,10.0,1,True
272270,4.0,20.0,1,True
443810,2.0,5.0,1,True
603850,1.0,0.371,0,True
219150,0.5,0.244,1,True
915810,8.0,15.0,1,True
385380,2.0,0.391,0,True
1126320,2.0,6.0,0,True
451340,8.0,19.0,1,True
326410,2.0,0.244,1,True
2231450,0.5,0.293,1,True
555220,4.0,3.0,1,True
2005010,8.0,5.0,1,True
568570,2.0,0.195,0,True
539470,2.0,0.391,0,True
860890,1.0,0.244,0,True
400910,8.0,1.0,0,True
248610,2.0,2.0,1,True
332800,1.0,0.244,1,True
242680,1.0,0.195,0,True
342180,8.0,12.0,1,True
1649080,4.0,6.0,1,True
287980,2.0,0.342,0,True
602520,1.0,3.0,0,True
1324780,1.465,10.0,1,True
668630,1.0,4.0,1,True
318600,4.0,2.0,0,True
268870,3.0,2.0,1,True
1089980,4.0,1.0,1,True
1110910,8.0,12.0,1,True
541570,4.0,0.586,1,True
555160,8.0,60.0,1,True
236150,2.0,8.0,1,True
209080,2.0,3.0,1,True
1696440,8.0,5.0,1,True
328080,4.0,1.0,1,True
420110,1.0,3.0,0,True
514900,8.0,10.0,1,True
1243830,4.0,8.0,1,True
1043810,8.0,3.0,1,True
851100,2.0,0.049,0,True
970830,4.0,8.0,1,True
1097350,6.0,16.0,1,True
249050,2.0,0.684,1,True
503560,1.0,0.488,0,True
1270580,8.0,6.0,1,True
921800,4.0,20.0,1,True
1227530,8.0,10.0,1,True
339800,2.0,1.0,1,True
366220,4.0,2.93,1,True
2429860,4.0,1.0,1,True
256290,2.0,3.0,1,True
48000,4.0,0.146,0,True
649950,4.0,15.0,1,True
252470,2.0,1.0,0,True
362680,2.0,5.0,1,True
1046030,2.0,0.195,1,True
865360,8.0,20.0,1,True
606800,2.0,1.0,1,True
633460,4.0,8.0,1,True
357310,4.0,2.0,1,True
1556790,8.0,30.0,1,True
241260,2.0,14.0,1,True
388090,2.0,1.0,1,True
814370,2.0,1.0,1,True
1071870,4.0,8.0,1,True
1353230,4.0,2.0,1,True
248820,1.0,0.127,0,True
692890,8.0,6.0,1,True
345180,4.0,4.0,1,True
2696050,4.0,1.0,1,True
1049890,8.0,15.0,1,True
684410,2.0,0.195,0,True
673880,12.0,11.0,1,True
107100,2.0,1.0,1,True
1608230,4.0,10.0,1,True
371970,4.0,4.0,1,True
306760,8.0,20.0,1,True
1066890,8.0,120.0,1,True
233610,4.0,5.0,1,True
2475490,8.0,3.0,1,True
985890,4.0,8.0,1,True
323220,1.0,0.195,1,True
1488200,0.25,1.0,0,True
1097200,2.0,1.0,1,True
341940,4.0,5.0,1,True
290790,4.0,15.0,1,True
225080,2.0,2.0,1,True
423230,4.0,5.0,1,True
1009560,6.0,6.0,1,True
295790,2.0,3.0,1,True
1229240,4.0,0.879,1,True
1263370,4.0,0.391,1,True
42910,2.0,2.0,1,True
1948280,2.0,0.195,0,True
538100,2.0,0.5,0,True
1189630,8.0,10.0,1,True
388880,2.0,3.0,1,True
281640,2.0,4.0,0,True
378720,4.0,3.0,1,True
1293160,8.0,55.0,1,True
690640,4.0,16.0,1,True
250400,4.0,7.0,1,True
1245560,4.0,1.0,0,True
798490,4.0,6.0,1,True
275100,2.0,2.0,1,True
537800,2.0,0.488,1,True
807120,1.0,3.418,1,True
1127400,1.0,0.195,0,True
736260,1.0,0.195,1,True
682990,8.0,15.0,1,True
656350,4.0,2.0,1,True
1035120,8.0,37.0,1,True
365160,4.0,5.0,1,True
557600,0.5,0.664,1,True
115800,1.0,0.586,1,True
252610,0.125,0.059,0,True
435530,1.0,2.0,1,True
654880,4.0,4.0,0,True
391730,2.5,0.488,0,True
1592190,8.0,20.0,1,True
2725260,4.0,5.0,1,True
446020,4.0,2.0,1,True
1199030,8.0,8.0,1,True
1188930,4.0,5.0,1,True
3059070,8.0,9.0,1,True
962730,8.0,5.0,1,True
307670,4.0,6.0,1,True
407130,8.0,8.0,1,True
2683150,8.0,7.0,1,True
251730,2.0,2.0,1,True
493200,4.0,7.52,1,True
530890,2.0,1.0,1,True
1958220,8.0,5.0,1,True
