appid,min_text,hw_ram_gb,hw_storage_gb
2226700, Minimum:     OS *:  Windows7/8/10    Processor:  Intel Core i5    Graphics:  NVIDIA Gef    Storage:  500 MB available space    Sound Card:  DirectX 11 Sound Device  ,2.0,0.488
1586710, Minimum:     OS:  Windows 10    Processor:  INTEL® Pentium Dual Core G3250    Graphics:  Any with dx11 support    DirectX:  Version 11    Storage:  2 GB available space    Sound Card:  DirectX9c compliant  ,2.0,2.0
1293170," Minimum:     OS *:  Windows 7 (SP1+) or Windows 10    Graphics:  DX10, DX11, DX12 capable.    Storage:  300 MB available space  ",2.0,0.293
1579920, Minimum:     OS *:  Windows 7 and Newer    Processor:  Intel Core 4th Gen or similiar    Graphics:  Integrated Graphics    Storage:  1 GB available space  ,2.0,1.0
453300," Minimum:     OS *:  Windows 7/8/8.1 32/64-bit    Graphics:  NVIDIA GeForce 400 series, or newer    DirectX:  Version 11    Storage:  250 MB available space    Additional Notes:  DirectX / XInput controller optimization (vibration function requires XInput)  ",2.0,0.244
2246110, Minimum:    Requires a 64-bit processor and operating system    OS:  Windows 10  ,2.0,1.0
1301620, Minimum:     OS:  WIN7 SP1/WIN8/WIN10    Processor:  1.2 GHz    Graphics:  OpenGL 2.0  ,2.0,1.0
652190," Minimum:     OS *:  Windows 7,8,10    Processor:  i5 or AMD equivalent    Graphics:  Nvidia GTX 770 or equivalent    DirectX:  Version 11    Storage:  4 GB available space    Sound Card:  Yeah probably so    Additional Notes:  Add some awesome headphones and a dark room if you dare! :)  ",2.0,4.0
1318090, Minimum:     OS *:  Windows 7 or higher    Processor:  Intel i5 4690k    Graphics:  NVidia 970 or AMD equivalent    Storage:  4 GB available space    VR Support:  SteamVR  ,2.0,4.0
551110, Minimum:     OS *:  Windows 7+  ,2.0,1.0
1290270, Minimum:    Requires a 64-bit processor and operating system    OS *:  Windows 7  ,2.0,1.0
2766940, Minimum:     OS:  Windows® 10    Processor:  Intel Core2 Duo or better    Graphics:  DirectX 9/OpenGL 4.1 capable GPU  ,2.0,1.0
2096510," Minimum:     OS *:  Windows 7 SP1+    Processor:  SSE2 support    Graphics:  true, need some graphics to display things    Sound Card:  sure, if you want to hear anything    Additional Notes:    ",2.0,1.0
2642890, Minimum:    Requires a 64-bit processor and operating system    OS:  Windows 10  ,2.0,1.0
208600, Minimum:     VR Support:  SteamVR or Oculus PC  ,2.0,1.0
1065580, Minimum:     OS *:  Windows 7 64-bit    Processor:  Intel Core i5-2XXX @ 2.0GHz / AMD Phenom II X4 @ 2.6GHz    Graphics:  Intel HD Graphics 3000 or better    DirectX:  Version 10    Storage:  190 MB available space  ,2.0,0.186
2506580, Minimum:     Storage:  1600 MB available space  ,2.0,1.562
753360, Minimum:     OS:  WIN7 SP1/WIN8/WIN10/    Processor:  2GHz以上    Graphics:  DirectX 9 compatible graphics card    Storage:  2 GB available space  ,2.0,2.0
1905530, Minimum:    Requires a 64-bit processor and operating system    OS *:  Windows 7 or later    Processor:  Intel Core™ Duo or faster    Graphics:  OpenGL 3.2+ / DirectX 11+  ,2.0,1.0
1892700, Minimum:     OS *:  Windows® 7/8/10/11 (32bit/64bit)    Storage:  500 MB available space  ,2.0,0.488
2077400, Minimum:     OS *:  Windows 7    Processor:  Intel Core 2 Duo    Graphics:  OpenGL 2.0 or DirectX 9.0c compatible    Storage:  2 GB available space  ,2.0,2.0
3019370, Minimum:    Requires a 64-bit processor and operating system    OS:  windows 10 or above    Processor:  Dual-core CPU  ,2.0,1.0
1303740, Minimum:     OS *:  Windows 7 / 8 / 8.1 / 10    Processor:  Intel Pentium D 830 (2 * 3000) or equivalent    Graphics:  Geforce GT 610 (1024 MB) or equivalent    Storage:  500 MB available space  ,2.0,0.488
