appid,num_ok,w_mean,w_med,w_min,w_max,h_mean,h_med,h_min,h_max,bright_mean,bright_med,bright_min,bright_max,cont_mean,cont_med,cont_min,cont_max,sharp_mean,sharp_med,sharp_min,sharp_max,edge_mean,edge_med,edge_min,edge_max,hue_mean,hue_med,hue_min,hue_max,sat_mean,sat_med,sat_min,sat_max,col_mean,col_med,col_min,col_max,ent_mean,ent_med,ent_min,ent_max
4000,4,1920.0,1920.0,1920.0,1920.0,1080.0,1080.0,1080.0,1080.0,136.4366857156636,135.08504484953704,114.63853925540124,160.93811390817902,63.154998355423615,64.38949247345677,51.05756293524776,72.78344553953319,691.0569422567594,679.0927683487355,526.510956092194,879.5312762373727,0.0544678337191358,0.051392988040123454,0.02911892361111111,0.08596643518518518,59.180004340277776,72.22794511959877,16.929072145061728,75.33505497685185,64.53422188464506,61.58947820216049,51.121383101851855,83.8365480324074,38.30760669708252,33.67856025695801,31.974132537841797,53.899173736572266,7.505959391593933,7.551415681838989,7.105467796325684,7.81553840637207
48700,4,1380.0,1280.0,1280.0,1680.0,862.5,800.0,800.0,1050.0,138.25695275685143,141.6129697265625,113.25046825396825,156.5514033203125,50.47910706681735,52.190124738542224,29.27037895350639,68.26579983667855,573.0763244944195,381.33347589860864,42.78577979133511,1486.8525663891257,0.04396729622838719,0.04785744401927437,0.0093154296875,0.0708388671875,62.94299883631839,66.58672032888677,22.419169921875,96.179384765625,54.34935392474046,52.4074638671875,25.1283564453125,87.45413151927437,22.539055347442627,21.329484939575195,16.41265296936035,31.084598541259766,7.181066393852234,7.344500541687012,6.464996814727783,7.570267677307129
105600,4,1280.0,1280.0,1280.0,1280.0,720.0,720.0,720.0,720.0,62.8107359483507,48.8330419921875,20.13761935763889,133.43924045138888,39.615072857464334,38.627159649072155,24.694856844606278,56.51111528710674,1084.1834802111196,934.8988828873311,769.5378478459664,1697.3983072238498,0.04368055555555555,0.03736165364583333,0.03568793402777778,0.06431098090277777,81.84303385416666,81.93937228732639,58.999378255208335,104.49401258680555,110.59130832248265,104.94681586371527,56.73958441840278,175.73201714409723,59.093812465667725,64.19511795043945,23.363454818725586,84.6215591430664,6.195428848266602,6.201362133026123,5.640745162963867,6.738245964050293
108600,4,1761.25,1824.0,1477.0,1920.0,1001.75,1048.5,830.0,1080.0,73.70009253831897,79.82066113057195,27.45737125890155,107.70167663323045,43.83322658123703,38.52592090579941,22.988758747300892,75.2923057660484,681.58114857157,436.42670667599214,210.05790750848703,1643.4132734258087,0.04084965989518282,0.034582121573630394,0.026803626543209877,0.06743076989026063,61.802309266346505,53.92857789966405,23.381959523945476,115.97012174211248,48.97691313902903,45.58348224379226,26.48116657021605,78.25952149831554,11.93094277381897,10.711232662200928,8.801115036010742,17.50019073486328,6.55449116230011,6.712614059448242,5.767873764038086,7.024862766265869
211820,4,1526.75,1633.0,921.0,1920.0,859.0,918.5,519.0,1080.0,31.655565025990384,33.16960216720361,11.165946394554313,49.117109375,25.712592795598272,27.198761535127126,19.313075020966536,29.139773091172295,1006.4577552904459,628.9909052305395,213.3196405554408,2554.5295701452637,0.043765552269237715,0.04194382241307129,0.007871042695323845,0.08330352155548443,63.353091229875474,71.48488651070744,9.64018645372413,100.80240544436285,97.6737346160874,104.89597004304898,44.74654407604599,136.15645430220565,23.02896499633789,20.769065856933594,17.144573211669922,33.43315505981445,4.853432595729828,5.19536018371582,2.778233766555786,6.244776248931885
219640,4,1280.0,1280.0,1280.0,1280.0,720.0,720.0,720.0,720.0,57.21459499782986,51.95022623697916,48.98651258680555,75.97141493055555,51.183892685844526,50.74834720479843,40.1164628403354,63.12241349344585,1300.8273402110128,1374.6805899151432,608.1519086371515,1845.7962723766138,0.10194037543402779,0.10017415364583333,0.07365776909722223,0.13375542534722223,44.33119466145833,37.20863389756944,20.242116970486112,82.66539388020833,73.71480740017361,79.32382541232639,50.20515299479167,86.00642578125,29.421884536743164,28.744118690490723,15.785528182983398,44.41377258300781,6.406109809875488,6.3285791873931885,6.2082695960998535,6.759011268615723
219740,4,1280.0,1280.0,1280.0,1280.0,720.0,720.0,720.0,720.0,62.27631456163195,57.826220703125,41.29478190104167,92.15803493923612,39.882366029308244,39.895684711648926,33.58548773244635,46.152606961488765,323.5115588080595,254.12952960941058,176.34456223626668,609.4426137771501,0.06344862196180555,0.05854112413194444,0.03184678819444445,0.10486545138888889,25.85661404079861,24.52406467013889,20.35631076388889,34.02201605902778,152.24349121093746,145.74723253038195,143.84008029513888,173.63941948784722,40.54649639129639,38.831969261169434,28.56996726989746,55.95207977294922,7.014554858207703,6.98466682434082,6.696628093719482,7.3922576904296875
220200,4,1919.0,1919.0,1918.0,1920.0,1079.0,1079.0,1078.0,1080.0,75.32033376912317,74.48862152914309,27.553236983484265,124.75085503472222,41.28748338866203,41.827806315384464,30.1626472187598,51.33167370511942,287.2082039213886,317.7271642689644,161.57338833090327,351.80509881672225,0.021650510621259136,0.02134717286288864,0.014030671296296296,0.029877025462962965,86.90552514425919,72.90123075590182,67.09365671569604,134.72598234953705,74.99265291569773,83.57700496720679,45.9298985685847,86.88670315979269,32.21075892448425,33.73979663848877,14.070809364318848,47.292633056640625,6.152472019195557,6.375202655792236,4.793390274047852,7.066092491149902
222880,4,1280.0,1280.0,1280.0,1280.0,720.0,720.0,720.0,720.0,67.82727484809027,58.192072482638885,23.931752387152777,130.99320203993057,51.785028657576305,54.7519088629131,32.51654617584791,65.11975072863112,736.0109818534896,329.09795029157414,116.09300781242466,2169.755019018385,0.048957248263888885,0.030792100694444446,0.005840928819444444,0.12840386284722222,38.93556884765625,40.850392252604166,18.745807291666665,55.29568359375,104.62588406032987,87.05852810329861,54.661654730902775,189.72482530381944,30.819579601287842,27.2299861907959,20.82651710510254,47.99182891845703,6.819221138954163,6.935080289840698,5.570889949798584,7.83583402633667
227300,4,1920.0,1920.0,1920.0,1920.0,1080.0,1080.0,1080.0,1080.0,110.52261827256945,119.56715446566358,80.11334490740741,122.8428192515432,60.27594948118505,61.33685986019387,53.855037711988864,64.57504049236361,1571.71553674187,1592.2006661186804,971.7118789710528,2130.7489357590666,0.07159625771604938,0.07555917245370371,0.04961853780864198,0.08564814814814815,74.20275752314815,73.5543303915895,71.71159143518518,77.9907778742284,84.00588348765433,88.2747600790895,64.30368200231482,95.17033179012346,49.28663921356201,49.33684539794922,45.53293228149414,52.93993377685547,7.712523341178894,7.741042375564575,7.48544979095459,7.882558822631836
230290,4,1920.0,1920.0,1920.0,1920.0,1080.0,1080.0,1080.0,1080.0,71.05749770929785,60.38045693479938,29.99464699074074,133.47442997685187,49.0483091291121,48.43363743491813,37.60820750858368,61.71775413802843,569.5509969379146,429.7322112151903,271.32738563438176,1147.4121796868963,0.029417076581790127,0.028431954089506172,0.016879340277777776,0.04392505787037037,50.45475815007716,44.1930931712963,27.059657118055554,86.3731891396605,96.58303578317903,86.39655020254631,67.4098259066358,146.12921682098766,38.9456262588501,33.694350242614746,19.039243698120117,69.35456085205078,6.637740135192871,6.585858106613159,5.684956073760986,7.69428825378418
233450,4,1920.0,1920.0,1920.0,1920.0,1080.0,1080.0,1080.0,1080.0,101.8532455632716,101.35485773533951,83.05269724151235,121.65056954089506,57.48365332240175,57.633874036327725,50.67517877170952,63.991686445242024,1693.4146907958907,1656.2927212638901,631.9568760184972,2829.116444637286,0.12306966145833333,0.12174430941358025,0.08515721450617283,0.1636328125,37.64297899787809,36.01937620563272,25.369228877314814,53.163934702932096,86.77658733603394,87.03023051697531,62.013543113425925,111.03234519675927,52.29977035522461,51.046396255493164,48.49009323120117,58.61619567871094,7.580783843994141,7.563952922821045,7.418318748474121,7.776910781860352
233860,4,1908.0,1904.0,1904.0,1920.0,1033.5,1042.0,1000.0,1050.0,97.06908244531218,96.5650123278198,90.75905760576784,104.38724751984127,44.586025059292865,44.33616679930214,33.29345521110855,56.37831142745861,1181.9652639094988,1242.3119228529836,404.95181137755077,1838.2853985544766,0.09002312684310768,0.09353013044229208,0.02642857142857143,0.14660367505927516,47.10327571481047,46.62904324652526,23.385764790561137,71.76925157563025,83.9300442454353,84.0519223455217,68.62988442460318,98.98644786609461,40.29261541366577,41.288238525390625,24.113691329956055,54.48029327392578,7.1658034324646,7.218414306640625,6.706003189086914,7.520381927490234
235540,4,1920.0,1920.0,1920.0,1920.0,1064.5,1080.0,1018.0,1080.0,44.57909689179833,39.675937562531836,29.93455680941358,69.02995563271605,40.88975595281781,36.73001270927631,26.799513326542193,63.29948506617643,237.46966264310595,211.702644138239,44.58205616439914,481.8913061315466,0.030275754730817506,0.02702599827336341,0.009146894290123457,0.05790412808641975,59.953690041208475,60.361316309799385,44.264139660493825,74.82798788474132,75.05131959082578,71.88058521412037,61.17130556237721,95.27280237268519,16.687098503112793,17.53279399871826,13.639780044555664,18.043025970458984,6.671399116516113,6.536367416381836,6.231451511383057,7.381410121917725
240720,4,1920.0,1920.0,1920.0,1920.0,1080.0,1080.0,1080.0,1080.0,89.97654272762347,91.43225212191359,77.7341015625,99.30756510416667,48.15798211419197,47.970748116797424,46.2500492023978,50.44038302077522,190.33222029503418,206.59256484531505,118.01428674150608,230.1294647480006,0.029520158179012344,0.032429591049382714,0.014680748456790123,0.03854070216049383,46.622977068865744,47.02977285879629,44.008234953703706,48.424127604166664,114.46271207079475,113.22719087577161,111.05863522376544,120.33783130787037,50.70466995239258,49.997703552246094,48.83523178100586,53.988040924072266,7.141992211341858,7.166186571121216,6.954751968383789,7.280843734741211
242760,4,1920.0,1920.0,1920.0,1920.0,1080.0,1080.0,1080.0,1080.0,48.76675371334876,60.056672453703705,3.7199223572530866,71.23374758873457,45.28482142239551,53.8145568624643,7.2965040365394875,66.21366792811395,302.86224837716907,229.1789031115412,5.747581972572153,747.3436053130216,0.0474854118441358,0.05126398533950617,0.0004427083333333333,0.08697096836419753,37.628483796296294,37.64102213541666,26.977236207561727,48.25465470679012,94.1108389998071,98.14342206790124,65.32771508487654,114.82879677854939,21.071532011032104,22.767451286315918,13.564702033996582,25.1865234375,6.0416852831840515,6.945818662643433,3.162379503250122,7.112724304199219
244210,4,1920.0,1920.0,1920.0,1920.0,1080.0,1080.0,1080.0,1080.0,114.93942189911266,113.75600935570988,104.25825954861111,127.98740933641976,56.05518016403658,58.2619759251955,43.61829825819939,64.07847054755591,518.8202576985917,440.115073670467,282.8962962944953,912.1545871589378,0.04990318769290123,0.04324001736111111,0.02306712962962963,0.09006558641975308,58.66645917727624,57.42531828703704,52.26605516975309,67.54914496527778,69.73467110339507,72.248761091821,57.748988715277775,76.6921735146605,51.93244457244873,53.17017364501953,32.102046966552734,69.28738403320312,7.605012059211731,7.636413812637329,7.43255615234375,7.714664459228516
246620,4,1878.5,1920.0,1754.0,1920.0,1056.75,1080.0,987.0,1080.0,71.24039138432427,75.16909825861768,53.90771122685185,80.71565779320987,44.13373715926643,39.5518713080869,34.68133818326908,62.749867837622844,732.7750072154664,702.8888180438255,466.8796062740101,1058.4427865002042,0.040547112049588954,0.04380086954670878,0.01982638888888889,0.05476032021604938,93.04635718075848,76.35036578896606,59.243921682098765,160.24077546300308,165.38718339688882,164.99310497857698,148.22012731481482,183.34239631558643,48.22069835662842,47.20729637145996,42.94847106933594,55.51972961425781,6.904406905174255,6.897608518600464,6.795364856719971,7.027045726776123
250900,4,1200.0,960.0,960.0,1920.0,675.0,540.0,540.0,1080.0,27.10391915027006,25.383399643132716,21.082029320987655,36.56684799382716,23.600496035805016,23.304146324731548,18.62780365555758,29.165887838199385,258.4051375568526,249.42348928610394,89.35867128803525,445.41490036716726,0.009742838541666667,0.009869550540123458,0.006682098765432099,0.012550154320987654,36.25244526427469,13.2505362654321,10.520451388888889,107.98825713734568,97.77946650752314,104.51963348765432,62.84007667824074,119.23852237654322,30.57607889175415,23.03300189971924,18.763778686523438,57.47453308105469,5.6077797412872314,5.5990190505981445,5.28381872177124,5.9492621421813965
252490,4,1920.0,1920.0,1920.0,1920.0,1080.0,1080.0,1080.0,1080.0,120.48779176311729,124.21982228973766,100.88497926311729,132.62654320987653,64.6330418864639,65.958684368581,60.42051001316168,66.1942887955319,1267.6460182717985,1011.7574813001447,470.4677496093964,2576.6013608775083,0.08164689429012346,0.09054277584876544,0.033783757716049384,0.11171826774691358,58.79688838252314,55.11966507523148,44.9350178433642,80.01320553626543,64.88031792534723,63.72566888503087,56.697100694444444,75.37283323688271,27.01959466934204,25.072047233581543,23.754314422607422,34.179969787597656,7.577256202697754,7.598442316055298,7.287972450256348,7.824167728424072
257510,4,1920.0,1920.0,1920.0,1920.0,1080.0,1080.0,1080.0,1080.0,103.61532238618827,103.36544801311729,84.28805652006173,123.4423369984568,61.1023134279463,62.45296128636373,52.40704544863763,67.09628569042012,833.9040895276153,831.1680695951758,163.2724587285092,1510.0077601916003,0.06865668402777778,0.06623263888888889,0.025656346450617283,0.11650511188271605,45.89962999131944,47.913949652777774,16.680109471450617,71.0905111882716,76.87098331404322,75.29575231481482,45.722011477623454,111.17041714891975,35.3966064453125,34.35184097290039,28.032554626464844,44.850189208984375,7.497804403305054,7.5531837940216064,7.164801597595215,7.720048427581787
262060,4,1920.0,1920.0,1920.0,1920.0,1080.0,1080.0,1080.0,1080.0,16.53536795910494,15.359202594521605,12.805268614969135,22.617798032407407,27.54442224509936,25.67982432742408,23.559272085279005,35.25876824027028,755.0777475068014,651.4645150801427,466.0836607735951,1251.298299093325,0.05216796875,0.04526331018518519,0.042767650462962964,0.07537760416666667,34.936606626157406,36.7046713445216,14.590598958333333,51.74648485725309,78.28908010223765,82.86340832368828,41.88546633873457,105.54403742283951,24.137458324432373,23.521918296813965,18.50339126586914,31.002605438232422,4.874642491340637,4.892125606536865,4.524068832397461,5.190249919891357
264710,4,1920.0,1920.0,1920.0,1920.0,1080.0,1080.0,1080.0,1080.0,66.5426481722608,71.03369429976851,50.840435956790124,73.26276813271605,40.02022571546863,40.74966794378753,36.0517044019902,42.529862572309234,288.0691289180106,297.39461622980707,140.8563531051061,416.63093010732223,0.04183002989969136,0.03971088927469136,0.016177662037037036,0.07172067901234568,74.43359507619599,79.16675250771605,36.354968653549385,103.04590663580247,151.35810293692128,151.02251977237654,130.80283950617283,172.58453269675925,57.111358642578125,54.08699417114258,43.938011169433594,76.33343505859375,7.024539947509766,7.045428991317749,6.862329006195068,7.144972801208496
268910,4,1920.0,1920.0,1920.0,1920.0,1080.0,1080.0,1080.0,1080.0,132.4926306905864,119.83730926890432,94.11205488040123,196.1838493441358,53.05213842616287,52.17985079031675,51.64396527067357,56.20488685334441,144.37089196513395,38.416003919513244,29.925080956595885,470.7264790649133,0.03004026813271605,0.02933617862654321,0.018352623456790125,0.043136091820987654,70.14754436728396,70.27797067901234,47.46816647376543,92.56606963734568,73.35435450424383,75.87503592785494,60.37341579861111,81.29393036265432,48.81176948547363,46.455976486206055,43.13359069824219,59.201534271240234,6.24146968126297,7.535234212875366,2.3129537105560303,7.582456588745117
275850,4,1920.0,1920.0,1920.0,1920.0,1080.0,1080.0,1080.0,1080.0,122.21094171971453,125.77347752700618,67.63063705632716,169.66617476851852,47.57103374189426,47.56446324402786,36.062360077786785,59.092848401734535,464.5505315322523,427.2390208581928,218.66395661580881,785.0601277968148,0.0493555893132716,0.0415772087191358,0.03259259259259259,0.08167534722222222,88.53943287037038,92.59196252893518,71.93787229938272,97.03593412422839,128.4569964072145,123.35041449652778,49.874308931327164,217.2528477044753,61.61058044433594,66.22649955749512,26.598636627197266,87.39068603515625,7.23992919921875,7.182933330535889,7.005230903625488,7.588619232177734
282070,4,1920.0,1920.0,1920.0,1920.0,1080.0,1080.0,1080.0,1080.0,62.55239064911265,57.38473307291667,41.801441936728395,93.6386545138889,66.4733109862526,66.88896349821148,55.81572848006487,76.29958846852256,1758.8814335265736,1016.062288238416,761.7228742248192,4241.6782834046435,0.07923647280092594,0.06797718942901235,0.037077546296296296,0.14391396604938272,54.95329800829475,47.109017168209874,25.791605420524693,99.80355227623457,49.198632209683645,47.53235387731482,39.478712866512346,62.251108217592595,15.728211164474487,15.72066879272461,11.556357383728027,19.915149688720703,6.9599848985672,6.759284734725952,6.607373237609863,7.713996887207031
285900,4,1920.0,1920.0,1920.0,1920.0,1080.0,1080.0,1080.0,1080.0,128.13167100694443,127.33484616126543,119.35134307484567,138.50564863040123,57.85554761516117,58.8440492028575,48.98474231500099,64.74934973992869,221.71461350738377,146.76253156794425,122.72856307312115,470.60482782052543,0.03628749517746913,0.037836612654320985,0.029772858796296296,0.03970389660493827,67.57151174286265,63.567592110339504,53.76464168595679,89.38622106481482,114.17570264274691,122.17267529899692,75.11894820601852,137.2385117669753,80.87950229644775,84.19421768188477,50.8479118347168,104.28166198730469,7.631994009017944,7.643603086471558,7.498597621917725,7.7421722412109375
286160,4,1920.0,1920.0,1920.0,1920.0,1080.0,1080.0,1080.0,1080.0,70.2140510464892,69.39841796875,61.24259403935185,80.81677420910493,49.404905419689115,51.04461056381091,30.417060130474113,65.11334042066049,239.96748132804257,202.7391619713174,162.51687788726338,391.8747234822721,0.03149619020061728,0.03147882908950617,0.028462094907407406,0.03456500771604938,18.71417956693673,18.80824604552469,16.546514756944443,20.693711419753086,128.67396592881943,127.1428672357253,115.75189187885802,144.65823736496912,42.358314514160156,42.54568099975586,37.06797790527344,47.27391815185547,6.9716717004776,7.068259000778198,6.61787223815918,7.132296562194824
291650,4,1920.0,1920.0,1920.0,1920.0,1067.5,1080.0,1030.0,1080.0,36.20233560671184,34.49075038580247,19.47996308656958,56.34787856867284,35.671863795389235,33.69688895165407,29.840589365558994,45.45308791268982,927.2744222312296,1044.231961302282,321.9927656496941,1298.641000670661,0.08912866933731871,0.08307508680555556,0.037227447411003235,0.1531370563271605,73.9734639244258,78.66504605516975,28.914105987055017,109.64965760030864,86.09290764666112,78.61660276813271,53.34387692152104,133.79454812885803,18.782158613204956,18.895645141601562,15.813380241394043,21.523963928222656,6.127707839012146,6.154217958450317,5.2220540046691895,6.98034143447876
294100,4,1920.0,1920.0,1920.0,1920.0,1080.0,1080.0,1080.0,1080.0,68.77189043209877,65.61489872685186,44.62030719521605,99.2374570794753,35.002998675427705,34.8357456760851,29.024804223817366,41.31569912572326,1407.2248862553124,1260.4139360726172,814.6367037616296,2293.4349691143852,0.058615692515432104,0.062189429012345684,0.034674961419753084,0.07540895061728395,65.92214662905093,75.4665731095679,17.718271122685184,95.03716917438271,115.78971281828704,106.31957513503086,91.98732880015432,158.5323722029321,38.025954723358154,37.18720054626465,27.703516006469727,50.025901794433594,6.1513694524765015,6.561098575592041,4.688806056976318,6.7944746017456055
304430,4,1920.0,1920.0,1920.0,1920.0,1080.0,1080.0,1080.0,1080.0,47.635942201967595,48.486768180941354,24.411891878858025,69.15834056712963,37.06287603867952,36.370506524360295,25.287986573265727,50.222504532731776,43.4146907064305,45.575043621510225,23.629011862318666,58.87966372038288,0.0072920283564814805,0.007414400077160494,0.003664158950617284,0.010675154320987654,91.64032081886575,95.04635874807099,79.22818335262346,97.24038242669754,51.284573567708335,49.94070625964506,45.7271484375,59.52973331404321,10.186456561088562,8.955376148223877,7.990410327911377,14.844663619995117,6.2968010902404785,6.479814767837524,5.665782451629639,6.561792373657227
305620,4,1757.0,1914.0,1280.0,1920.0,966.0,1080.0,624.0,1080.0,53.01383425004738,48.163704574480434,23.557417534722223,92.17051031650641,38.14352288090487,37.67280422129483,30.826534111843,46.401948969186805,52.52976014187189,39.518991667872385,17.04812885802097,114.03292837372179,0.012049549241342748,0.007387839279059196,0.00334008487654321,0.030082433530709392,78.51845442692199,84.26454558317633,27.087956190255042,118.45677035108025,98.07557062091318,98.67150843975753,45.43366616355122,149.52559944058643,22.420300722122192,26.275529861450195,7.386916160583496,29.743227005004883,6.545296669006348,6.617323875427246,5.7924957275390625,7.154043197631836
311690,4,1920.0,1920.0,1920.0,1920.0,1080.0,1080.0,1080.0,1080.0,47.794132788387344,50.12668209876543,30.476634837962962,60.44653211805556,51.04722219822624,55.30659323627003,32.12868357158395,61.447018748780934,676.2339819599426,655.3467874183964,498.4999109756781,895.7424420272994,0.03818094135802469,0.04059702932098765,0.020481288580246913,0.051048418209876545,74.26353877314816,82.42229263117284,19.55402488425926,112.65554494598766,112.85788158275463,115.7824380304784,70.6600675154321,149.20658275462964,59.06031322479248,52.99648857116699,39.732688903808594,90.51558685302734,6.544690012931824,6.8041534423828125,5.738221645355225,6.832231521606445
313630,4,1920.0,1920.0,1920.0,1920.0,1080.0,1080.0,1080.0,1080.0,96.11882547260802,113.94546006944444,22.50304976851852,134.08133198302468,58.36520688846101,57.6866539996856,45.62070736356123,72.46681219091161,422.3552688362414,433.3878000240916,168.61309398258456,654.0323813141979,0.06274028260030864,0.06493827160493827,0.02285011574074074,0.09823447145061728,69.97030309606481,66.67395326967593,37.98392554012346,108.54938030478395,88.37692274305556,79.02489703896606,74.95727334104939,120.50062355324074,40.39504313468933,46.583351135253906,11.581164360046387,56.832305908203125,6.928505897521973,7.682780504226685,4.569958686828613,7.778503894805908
322170,4,1920.0,1920.0,1920.0,1920.0,1080.0,1080.0,1080.0,1080.0,45.78699845679013,46.97410276813272,22.805925925925926,66.39386236496914,42.454763126667785,42.51992117872484,37.257668318937476,47.52154183028398,243.3025558826772,244.13867319539082,148.46605192954445,336.4668252103827,0.031393952546296296,0.03490740740740741,0.011885609567901235,0.043875385802469136,105.60035674672068,117.60213927469135,62.41251591435185,124.78463252314815,204.71863859953703,203.9717717978395,174.6477170138889,236.28329378858024,82.70424270629883,82.03221130371094,54.37562561035156,112.37692260742188,5.88920259475708,6.039614677429199,4.959725379943848,6.517855644226074
322330,4,1920.0,1920.0,1920.0,1920.0,1080.0,1080.0,1080.0,1080.0,64.72661627121914,70.57806929976852,43.875629340277776,73.87469714506173,51.254452011636175,47.14745914066271,42.15884894722368,68.5640408179956,873.60013952709,676.9306150685627,271.0803853905437,1869.4589425806914,0.07911012249228395,0.06465494791666668,0.04732494212962963,0.13980565200617284,45.33903272087192,35.14745249807099,16.868832947530866,94.19239293981481,105.45350260416666,113.97596643518519,69.66103250385802,124.20104504243827,34.348347187042236,30.61822509765625,23.939146041870117,52.21779251098633,7.181177616119385,7.237529516220093,6.828497409820557,7.421154022216797
346110,4,1840.0,1920.0,1600.0,1920.0,1035.0,1080.0,900.0,1080.0,93.5053672839506,86.00189945023148,80.5837109375,121.43395929783951,60.609102733829886,60.0560420811327,55.99214396062859,66.33218281242553,625.5919949731838,582.8586580606138,363.9023035601309,972.7483602113768,0.06321963734567901,0.06339964313271605,0.02841676311728395,0.0976625,57.86896550925927,56.780896267361115,31.648304166666666,86.26576533564815,83.24908091242284,82.95341796874999,53.059791184413584,114.02969652777777,37.452730655670166,35.25832653045654,25.971446990966797,53.32282257080078,7.520792484283447,7.513803243637085,7.382597923278809,7.6729655265808105
361420,4,1340.25,1147.0,1147.0,1920.0,753.75,645.0,645.0,1080.0,89.72422449041139,89.60896102403979,45.246484594121505,134.43249131944444,46.594884241926465,45.601075818716694,39.60946665642617,55.567918673846314,605.2818838092816,549.2171561576603,87.97460398339352,1234.7186189384122,0.047856945927156835,0.048568898981502136,0.0215258487654321,0.07276413698019099,127.15962858953094,128.82553509989344,107.19427694761528,143.7931672107216,167.25445290768985,163.83114224502071,126.1254615162037,215.23006562451422,82.5438461303711,82.98345184326172,51.37336730957031,112.83511352539062,7.137357711791992,7.2346343994140625,6.708250522613525,7.371911525726318
