appid,release_coming_soon,price_initial,price_final,price_discount_pct,platform_windows,platform_mac,platform_linux,screenshots_count,movies_count,cat_n,gen_n,lang_n,pc_min_len,pc_rec_len,num_ok,w_mean,h_mean,bright_mean,cont_mean,sharp_mean,edge_mean,hue_mean,sat_mean,col_mean,ent_mean
3115220,False,2499,2499,0,True,False,False,12,7,10,4,11,417,426,4,1920.0,1080.0,93.63579583815586,55.42928887011995,400.8375427694856,0.0828041811342592,22.592697241512344,160.34997214988425,62.04270553588867,7.647176504135132
2016460,False,3499,3499,0,True,False,False,11,2,6,4,13,539,524,4,1920.0,1080.0,100.99270604263118,43.85150683065669,463.0997427243223,0.062701702353395,33.9541546103395,102.85867030767749,47.36363506317139,7.257143139839172
3483740,False,1499,1124,25,True,True,False,17,3,18,5,12,388,113,4,1920.0,1080.0,89.54631980613425,51.59650015325816,580.6936753267191,0.0387297453703703,72.71439863040123,99.26520628375772,44.29183101654053,6.713312268257141
2949320,False,2499,2499,0,True,False,False,6,2,7,6,10,648,651,4,1918.0,1080.0,137.2373682076237,56.7234774576466,560.8243472522693,0.0541480805623141,69.65504926524544,86.91237351793922,50.17157745361328,7.546963214874268
1601330,False,1999,1999,0,True,False,False,14,2,10,5,18,686,687,4,1920.0,1080.0,101.41642578125,44.42462854331826,343.90930521242046,0.0505755690586419,48.98247950424383,128.65866898148147,75.24935054779053,7.323518514633179
1299460,False,2499,1499,40,True,False,False,6,3,5,3,11,571,574,4,1920.0,1080.0,59.66586275077161,42.33167659849684,302.3788346051608,0.0382137345679012,86.91324508101853,152.5449406828704,56.09640312194824,6.966845154762268
2918500,False,899,899,0,True,True,False,8,2,8,3,2,535,541,4,1722.5,1080.0,160.45095998092796,42.769699613400064,12.495147999502704,0.0113458496246514,45.10757600411653,128.79359298590924,66.77401542663574,4.664237082004547
3213850,False,1199,1199,0,True,True,False,8,7,7,8,15,434,465,4,1920.0,1080.0,131.97349320023147,63.6346252891227,709.4240060697192,0.0389297598379629,43.0415599681713,64.97383692611884,38.66836357116699,7.173233151435852
1401730,False,2499,2499,0,True,False,False,13,3,13,4,10,358,0,4,1920.0,1080.0,76.71840555073302,49.96201602002076,753.3929706656293,0.0708367091049382,114.2521773726852,160.83519965277776,63.19622802734375,7.240373015403748
2816950,False,1999,999,50,True,False,False,16,3,5,6,4,353,357,4,1920.0,1080.0,106.23785650559414,42.65735221140593,255.21731388544384,0.0356895013503086,50.99106083622685,161.3829223331404,69.3540563583374,7.184565424919128
3035120,False,999,999,0,True,True,True,7,2,13,2,19,451,455,4,1920.0,1080.0,198.34210780767745,45.1468704137848,346.5032579055592,0.0443919994212963,29.283192033179013,74.63663073881173,40.07795333862305,6.123152494430542
1136380,False,1999,1999,0,True,False,False,27,1,12,2,14,525,530,4,1920.0,1080.0,68.81449688946759,39.93119663235258,293.77945741440203,0.0396245659722222,64.57259874131945,101.2757167486497,28.47324085235596,6.848173975944519
2658510,False,2499,1674,33,True,False,False,19,5,12,4,13,472,568,4,1920.0,1080.0,144.49308111496913,55.13066447351601,891.2594244139743,0.0595861062885802,96.0973501398534,81.00138888888888,46.37714862823486,7.535605311393738
1313290,False,1799,1799,0,True,False,False,17,3,5,3,9,531,497,4,1920.0,1080.0,82.24470196759259,42.17430555004783,683.5849744680626,0.0564232494212963,36.68687765239197,154.96794524016204,47.22824764251709,7.207145810127258
2788520,False,1999,1999,0,True,False,False,7,3,4,3,14,499,487,4,1920.0,1080.0,100.24825991030092,46.61830021602184,195.4849443431831,0.0178401089891975,65.83912290219908,102.3379680266204,38.96648406982422,6.973666071891785
1296400,False,2999,1199,60,True,False,False,9,2,5,2,13,517,529,4,1920.0,1080.0,104.89780815972222,54.77582868000498,548.8739696912231,0.0526894048996913,47.23538025655864,124.95090205439814,54.85943031311035,7.555410027503967
832360,False,1999,1999,0,True,True,True,14,3,5,4,6,438,0,4,1920.0,1080.0,113.13311101466049,36.38754645279997,413.1221112862476,0.0616137393904321,56.17239306037808,103.3956428433642,55.69868469238281,6.89466118812561
3265070,False,2299,2299,0,True,False,False,13,2,4,2,7,405,413,4,1920.0,1080.0,118.30653983410494,41.093279264098186,943.4827438797098,0.0962134693287037,64.73441514756945,95.07936053240742,51.91943168640137,7.284266948699951
3047750,False,2499,1749,30,True,False,False,10,3,5,3,15,398,465,4,1920.0,1080.0,80.2957731722608,48.94325125331801,499.1023842101611,0.0451374421296296,43.095811873070986,101.3145376398534,32.77456569671631,7.25290846824646
2094910,False,999,999,0,True,False,False,10,3,9,3,12,350,354,4,1920.0,1080.0,115.52888852719909,48.809727785994,560.48998015811,0.0274312789351851,72.38957911361882,59.474212842399695,32.95843982696533,6.898590326309204
