appid,release_coming_soon,price_initial,price_final,price_discount_pct,platform_windows,platform_mac,platform_linux,screenshots_count,movies_count,cat_n,gen_n,lang_n,pc_min_len,pc_rec_len
2760790,False,699,699,0,True,False,False,7,3,9,3,7,245,0
2915380,False,1799,1799,0,True,False,False,6,2,9,3,6,428,0
2654540,False,599,599,0,True,False,False,12,1,4,6,3,373,0
3613270,False,1799,1799,0,True,False,False,12,2,10,3,17,484,492
2718240,False,899,899,0,True,False,False,10,2,3,3,11,382,113
3208560,False,599,599,0,True,False,False,7,1,10,4,11,295,0
3659410,False,799,799,0,True,False,False,7,3,9,4,10,316,320
3204020,False,1999,1999,0,True,False,False,7,2,5,2,2,366,113
2185030,False,1799,1799,0,True,False,False,7,1,13,3,13,430,113
2827680,False,999,999,0,True,False,False,9,2,5,4,8,400,404
3136330,False,699,699,0,True,False,False,10,3,4,3,16,326,329
3362960,False,1699,1699,0,True,True,True,11,1,12,3,12,403,408
4030290,False,1299,1299,0,True,False,False,6,1,8,4,2,506,483
2817390,False,1499,1499,0,True,False,False,10,1,3,3,3,368,444
3124550,False,999,579,42,True,False,False,9,2,11,3,17,417,458
2428800,False,1299,909,30,True,True,False,17,1,9,3,6,355,113
2811530,False,1299,1299,0,True,False,False,21,2,3,3,13,464,469
3651310,False,699,699,0,True,False,False,7,2,10,3,10,443,113
3327470,False,999,999,0,True,False,False,8,1,4,3,13,432,113
2988300,False,599,599,0,True,False,False,7,2,7,3,6,389,113
3521410,False,999,999,0,True,True,True,13,1,10,4,11,449,113
3355800,False,1499,1499,0,True,False,False,16,1,5,5,15,449,453
3058360,False,1399,1399,0,True,False,False,10,2,7,5,12,520,450
3140120,False,999,999,0,True,False,False,5,2,11,2,9,373,113
2402630,False,999,789,21,True,False,False,15,2,6,6,11,397,403
