appid,release_coming_soon,price_initial,price_final,price_discount_pct,platform_windows,platform_mac,platform_linux,screenshots_count,movies_count,cat_n,gen_n,lang_n,pc_min_len,pc_rec_len,t0_date,d7_total,d7_pos,d7_neg,d7_pos_ratio,d14_total,d14_pos,d14_neg,d14_pos_ratio,d30_total,d30_pos,d30_neg,d30_pos_ratio
3115220,False,2499,2499,0,True,False,False,12,7,10,4,11,417,426,2025-09-16,1178,1152,26,0.9779286926994908,1756,1718,38,0.9783599088838268,2432.0,2383.0,49.0,0.9798519736842104
2016460,False,3499,3499,0,True,False,False,11,2,6,4,13,539,524,2025-07-29,1660,1326,334,0.7987951807228916,2202,1794,408,0.8147138964577657,2611.0,2135.0,476.0,0.8176943699731903
3483740,False,1499,1124,25,True,True,False,17,3,18,5,12,388,113,2025-06-16,1243,1165,78,0.9372485921158488,1830,1714,116,0.9366120218579236,2299.0,2139.0,160.0,0.9304045237059592
2949320,False,2499,2499,0,True,False,False,6,2,7,6,10,648,651,2025-09-18,1494,1325,169,0.8868808567603749,1902,1643,259,0.8638275499474237,2127.0,1823.0,304.0,0.8570756934649741
1601330,False,1999,1999,0,True,False,False,14,2,10,5,18,686,687,2025-05-07,281,219,62,0.7793594306049823,373,285,88,0.7640750670241286,438.0,333.0,105.0,0.7602739726027398
1299460,False,2499,1499,40,True,False,False,6,3,5,3,11,571,574,2025-03-11,679,624,55,0.91899852724595,1047,970,77,0.9264565425023876,1342.0,1249.0,93.0,0.9307004470938898
2918500,False,899,899,0,True,True,False,8,2,8,3,2,535,541,2025-09-22,468,417,51,0.8910256410256411,802,695,107,0.8665835411471322,1068.0,941.0,127.0,0.8810861423220974
3213850,False,1199,1199,0,True,True,False,8,7,7,8,15,434,465,2025-04-30,404,365,39,0.9034653465346536,589,530,59,0.8998302207130731,783.0,712.0,71.0,0.909323116219668
1401730,False,2499,2499,0,True,False,False,13,3,13,4,10,358,0,2025-04-10,1085,926,159,0.8534562211981567,1364,1165,199,0.8541055718475073,1520.0,1298.0,222.0,0.8539473684210527
2816950,False,1999,999,50,True,False,False,16,3,5,6,4,353,357,2024-07-16,975,885,90,0.9076923076923076,1397,1268,129,0.9076592698639944,1671.0,1512.0,159.0,0.9048473967684022
3035120,False,999,999,0,True,True,True,7,2,13,2,19,451,455,2025-08-07,890,876,14,0.9842696629213484,1535,1502,33,0.9785016286644952,2294.0,2241.0,53.0,0.9768962510897996
1136380,False,1999,1999,0,True,False,False,27,1,12,2,14,525,530,2022-08-23,356,253,103,0.7106741573033708,491,375,116,0.7637474541751528,606.0,472.0,134.0,0.7788778877887789
2658510,False,2499,1674,33,True,False,False,19,5,12,4,13,472,568,2025-07-23,228,187,41,0.8201754385964912,337,276,61,0.8189910979228486,432.0,357.0,75.0,0.8263888888888888
1313290,False,1799,1799,0,True,False,False,17,3,5,3,9,531,497,2025-07-24,333,288,45,0.8648648648648649,491,419,72,0.8533604887983707,577.0,492.0,85.0,0.8526863084922011
2788520,False,1999,1999,0,True,False,False,7,3,4,3,14,499,487,2024-05-16,131,124,7,0.9465648854961832,162,150,12,0.925925925925926,184.0,169.0,15.0,0.9184782608695652
1296400,False,2999,1199,60,True,False,False,9,2,5,2,13,517,529,2025-06-19,87,49,38,0.5632183908045977,116,64,52,0.5517241379310345,145.0,79.0,66.0,0.5448275862068965
832360,False,1999,1999,0,True,True,True,14,3,5,4,6,438,0,2021-10-05,140,101,39,0.7214285714285714,170,124,46,0.7294117647058823,189.0,136.0,53.0,0.7195767195767195
3265070,False,2299,2299,0,True,False,False,13,2,4,2,7,405,413,2025-05-22,57,55,2,0.9649122807017544,93,90,3,0.967741935483871,120.0,109.0,11.0,0.9083333333333332
3047750,False,2499,1749,30,True,False,False,10,3,5,3,15,398,465,2025-08-21,261,250,11,0.9578544061302682,359,343,16,0.9554317548746518,446.0,423.0,23.0,0.9484304932735426
2094910,False,999,999,0,True,False,False,10,3,9,3,12,350,354,2023-06-04,189,162,27,0.8571428571428571,234,206,28,0.8803418803418803,272.0,237.0,35.0,0.8713235294117647
2487150,False,1999,1999,0,True,False,False,20,2,5,3,13,574,555,2025-09-23,433,348,85,0.8036951501154734,604,478,126,0.7913907284768212,798.0,626.0,172.0,0.7844611528822055
1429880,False,2499,2499,0,True,True,False,14,3,16,6,7,467,478,2025-05-01,306,230,76,0.7516339869281046,383,300,83,0.783289817232376,431.0,350.0,81.0,0.8120649651972158
