appid,num_ok,w_mean,h_mean,bright_mean,cont_mean,sharp_mean,edge_mean,hue_mean,sat_mean,col_mean,ent_mean,t0_date,d7_total,d7_pos,d7_neg,d7_pos_ratio,d14_total,d14_pos,d14_neg,d14_pos_ratio,d30_total,d30_pos,d30_neg,d30_pos_ratio
832360,4,1920.0,1080.0,113.13311101466049,36.38754645279997,413.1221112862476,0.0616137393904321,56.17239306037808,103.3956428433642,55.69868469238281,6.89466118812561,2021-10-05,140,101,39,0.7214285714285714,170,124,46,0.7294117647058823,189.0,136.0,53.0,0.7195767195767195
1136380,4,1920.0,1080.0,68.81449688946759,39.93119663235258,293.77945741440203,0.0396245659722222,64.57259874131945,101.2757167486497,28.47324085235596,6.848173975944519,2022-08-23,356,253,103,0.7106741573033708,491,375,116,0.7637474541751528,606.0,472.0,134.0,0.7788778877887789
1296400,4,1920.0,1080.0,104.89780815972222,54.77582868000498,548.8739696912231,0.0526894048996913,47.23538025655864,124.95090205439814,54.85943031311035,7.555410027503967,2025-06-19,87,49,38,0.5632183908045977,116,64,52,0.5517241379310345,145.0,79.0,66.0,0.5448275862068965
1299460,4,1920.0,1080.0,59.66586275077161,42.33167659849684,302.3788346051608,0.0382137345679012,86.91324508101853,152.5449406828704,56.09640312194824,6.966845154762268,2025-03-11,679,624,55,0.91899852724595,1047,970,77,0.9264565425023876,1342.0,1249.0,93.0,0.9307004470938898
1313290,4,1920.0,1080.0,82.24470196759259,42.17430555004783,683.5849744680626,0.0564232494212963,36.68687765239197,154.96794524016204,47.22824764251709,7.207145810127258,2025-07-24,333,288,45,0.8648648648648649,491,419,72,0.8533604887983707,577.0,492.0,85.0,0.8526863084922011
1346840,4,1920.0,1080.0,50.54350043402778,36.42552797326204,89.36415850486279,0.0124873408564814,51.90456645447531,127.09892505787036,37.1247706413269,6.140499114990234,2025-09-11,195,168,27,0.8615384615384616,269,236,33,0.8773234200743495,333.0,294.0,39.0,0.8828828828828829
1401730,4,1920.0,1080.0,76.71840555073302,49.96201602002076,753.3929706656293,0.0708367091049382,114.2521773726852,160.83519965277776,63.19622802734375,7.240373015403748,2025-04-10,1085,926,159,0.8534562211981567,1364,1165,199,0.8541055718475073,1520.0,1298.0,222.0,0.8539473684210527
1429880,4,1920.0,1080.0,130.1255858169367,59.15877408979054,1314.385953286291,0.0953680796682098,50.10123565297068,84.66305145640432,49.52031230926514,7.392950415611267,2025-05-01,306,230,76,0.7516339869281046,383,300,83,0.783289817232376,431.0,350.0,81.0,0.8120649651972158
1601330,4,1920.0,1080.0,101.41642578125,44.42462854331826,343.90930521242046,0.0505755690586419,48.98247950424383,128.65866898148147,75.24935054779053,7.323518514633179,2025-05-07,281,219,62,0.7793594306049823,373,285,88,0.7640750670241286,438.0,333.0,105.0,0.7602739726027398
1602000,4,1920.0,1080.0,118.2031866078318,58.19452542555754,835.2903168978111,0.0776120032793209,69.26077630690585,106.53919680748456,59.02174472808838,7.452932715415955,2025-05-20,161,151,10,0.937888198757764,264,245,19,0.928030303030303,341.0,321.0,20.0,0.9413489736070382
