tag,game_count,coverage_pct,excluded,exclude_reason
Remake,66,0.66,True,cov_low (0.7%)
Real-Time,66,0.66,True,cov_low (0.7%)
Solitaire,66,0.66,True,cov_low (0.7%)
Illuminati,66,0.66,True,cov_low (0.7%)
Real-Time with Pause,64,0.64,True,cov_low (0.6%)
Co-op Campaign,64,0.64,True,cov_low (0.6%)
Design & Illustration,63,0.63,True,cov_low (0.6%)
Agriculture,62,0.62,True,cov_low (0.6%)
Bullet Time,61,0.61,True,cov_low (0.6%)
Underwater,60,0.6,True,cov_low (0.6%)
FMV,60,0.6,True,cov_low (0.6%)
God Game,59,0.59,True,cov_low (0.6%)
Sequel,57,0.57,True,cov_low (0.6%)
4X,56,0.56,True,cov_low (0.6%)
Boomer Shooter,56,0.56,True,cov_low (0.6%)
Politics,56,0.56,True,cov_low (0.6%)
Cult Classic,55,0.55,True,cov_low (0.5%)
Vampire,54,0.54,True,cov_low (0.5%)
Pirates,54,0.54,True,cov_low (0.5%)
Fishing,52,0.52,True,cov_low (0.5%)
Mystery Dungeon,52,0.52,True,cov_low (0.5%)
Immersive,51,0.51,True,cov_low (0.5%) | sentiment_leakage
Western,50,0.5,True,cov_low (0.5%)
Typing,50,0.5,True,cov_low (0.5%)
Mining,49,0.49,True,cov_low (0.5%)
Minigames,49,0.49,True,cov_low (0.5%)
Dragons,48,0.48,True,cov_low (0.5%)
Trains,48,0.48,True,cov_low (0.5%)
Class-Based,48,0.48,True,cov_low (0.5%)
Trading,48,0.48,True,cov_low (0.5%)
Political Sim,48,0.48,True,cov_low (0.5%)
e-sports,48,0.48,True,cov_low (0.5%)
Spectacle fighter,46,0.46,True,cov_low (0.5%)
GameMaker,46,0.46,True,cov_low (0.5%)
Asynchronous Multiplayer,46,0.46,True,cov_low (0.5%)
Party,45,0.45,True,cov_low (0.4%)
Crowdfunded,45,0.45,True,cov_low (0.4%)
Trading Card Game,45,0.45,True,cov_low (0.4%)
Underground,45,0.45,True,cov_low (0.4%)
Dinosaurs,44,0.44,True,cov_low (0.4%)
6DOF,44,0.44,True,cov_low (0.4%)
America,44,0.44,True,cov_low (0.4%)
Combat Racing,44,0.44,True,cov_low (0.4%)
3D Vision,42,0.42,True,cov_low (0.4%)
Music-Based Procedural Generation,42,0.42,True,cov_low (0.4%)
Vehicular Combat,42,0.42,True,cov_low (0.4%)
Experience,41,0.41,True,cov_low (0.4%)
Dynamic Narration,40,0.4,True,cov_low (0.4%)
Cold War,40,0.4,True,cov_low (0.4%)
Transportation,39,0.39,True,cov_low (0.4%)
Gun Customization,39,0.39,True,cov_low (0.4%)
Episodic,39,0.39,True,cov_low (0.4%)
Quick-Time Events,36,0.36,True,cov_low (0.4%)
Conspiracy,36,0.36,True,cov_low (0.4%)
Epic,35,0.35,True,cov_low (0.3%)
Nostalgia,35,0.35,True,cov_low (0.3%)
Heist,34,0.34,True,cov_low (0.3%)
Jump Scare,32,0.32,True,cov_low (0.3%)
Assassin,31,0.31,True,cov_low (0.3%)
Traditional Roguelike,31,0.31,True,cov_low (0.3%)
Trivia,31,0.31,True,cov_low (0.3%)
Farming,29,0.29,True,cov_low (0.3%)
Diplomacy,28,0.28,True,cov_low (0.3%)
On-Rails Shooter,28,0.28,True,cov_low (0.3%)
Superhero,27,0.27,True,cov_low (0.3%)
Unforgiving,27,0.27,True,cov_low (0.3%)
3D Fighter,26,0.26,True,cov_low (0.3%)
Tanks,26,0.26,True,cov_low (0.3%)
Football (Soccer),26,0.26,True,cov_low (0.3%)
Chess,25,0.25,True,cov_low (0.2%)
Foreign,25,0.25,True,cov_low (0.2%)
Game Development,25,0.25,True,cov_low (0.2%)
Hunting,24,0.24,True,cov_low (0.2%)
Action RTS,24,0.24,True,cov_low (0.2%)
Sailing,23,0.23,True,cov_low (0.2%)
Naval,23,0.23,True,cov_low (0.2%)
Roguevania,22,0.22,True,cov_low (0.2%)
Golf,22,0.22,True,cov_low (0.2%)
World War I,22,0.22,True,cov_low (0.2%)
Snow,22,0.22,True,cov_low (0.2%)
Games Workshop,21,0.21,True,cov_low (0.2%)
Silent Protagonist,21,0.21,True,cov_low (0.2%)
Job Simulator,21,0.21,True,cov_low (0.2%)
Horses,20,0.2,True,cov_low (0.2%)
Gambling,20,0.2,True,cov_low (0.2%)
Rome,20,0.2,True,cov_low (0.2%)
Dwarf,19,0.19,True,cov_low (0.2%)
Vikings,19,0.19,True,cov_low (0.2%)
Skateboarding,19,0.19,True,cov_low (0.2%)
Intentionally Awkward Controls,19,0.19,True,cov_low (0.2%)
Software,19,0.19,True,cov_low (0.2%)
Boss Rush,18,0.18,True,cov_low (0.2%)
Werewolves,18,0.18,True,cov_low (0.2%)
Battle Royale,18,0.18,True,cov_low (0.2%)
Sniper,18,0.18,True,cov_low (0.2%)
Movie,17,0.17,True,cov_low (0.2%)
Archery,17,0.17,True,cov_low (0.2%)
Spelling,17,0.17,True,cov_low (0.2%)
Medical Sim,16,0.16,True,cov_low (0.2%)
Asymmetric VR,16,0.16,True,cov_low (0.2%)
Spaceships,16,0.16,True,cov_low (0.2%)
Skating,16,0.16,True,cov_low (0.2%)
Mars,16,0.16,True,cov_low (0.2%)
Boxing,16,0.16,True,cov_low (0.2%)
MMORPG,15,0.15,True,cov_low (0.1%)
Mini Golf,15,0.15,True,cov_low (0.1%)
Naval Combat,15,0.15,True,cov_low (0.1%)
Looter Shooter,14,0.14,True,cov_low (0.1%)
MOBA,14,0.14,True,cov_low (0.1%)
Lemmings,14,0.14,True,cov_low (0.1%)
Transhumanism,14,0.14,True,cov_low (0.1%)
Based On A Novel,14,0.14,True,cov_low (0.1%)
Pinball,14,0.14,True,cov_low (0.1%)
Hero Shooter,14,0.14,True,cov_low (0.1%)
Electronic Music,14,0.14,True,cov_low (0.1%)
Utilities,14,0.14,True,cov_low (0.1%)
Tennis,14,0.14,True,cov_low (0.1%)
Outbreak Sim,13,0.13,True,cov_low (0.1%)
Ambient,13,0.13,True,cov_low (0.1%)
Offroad,13,0.13,True,cov_low (0.1%)
Basketball,13,0.13,True,cov_low (0.1%)
Dice,12,0.12,True,cov_low (0.1%)
Mod,11,0.11,True,cov_low (0.1%)
Submarine,11,0.11,True,cov_low (0.1%)
Animation & Modeling,11,0.11,True,cov_low (0.1%)
LEGO,11,0.11,True,cov_low (0.1%)
Social Deduction,10,0.1,True,cov_low (0.1%)
Bikes,10,0.1,True,cov_low (0.1%)
Football (American),10,0.1,True,cov_low (0.1%)
Snowboarding,9,0.09,True,cov_low (0.1%)
Dungeons & Dragons,9,0.09,True,cov_low (0.1%)
Motorbike,8,0.08,True,cov_low (0.1%)
Jet,8,0.08,True,cov_low (0.1%)
Audio Production,8,0.08,True,cov_low (0.1%)
Fox,8,0.08,True,cov_low (0.1%)
Electronic,8,0.08,True,cov_low (0.1%)
Pool,8,0.08,True,cov_low (0.1%)
Well-Written,8,0.08,True,cov_low (0.1%)
TrackIR,7,0.07,True,cov_low (0.1%)
