appid,t0_date,d7_total,d7_pos,d7_neg,d7_pos_ratio,d14_total,d14_pos,d14_neg,d14_pos_ratio,d30_total,d30_pos,d30_neg,d30_pos_ratio
832360,2021-10-05,140,101,39,0.7214285714285714,170,124,46,0.7294117647058823,189,136,53,0.7195767195767195
1136380,2022-08-23,356,253,103,0.7106741573033708,491,375,116,0.7637474541751528,606,472,134,0.7788778877887789
1296400,2025-06-19,87,49,38,0.5632183908045977,116,64,52,0.5517241379310345,145,79,66,0.5448275862068965
1299460,2025-03-11,679,624,55,0.9189985272459499,1047,970,77,0.9264565425023877,1342,1249,93,0.9307004470938898
1313290,2025-07-24,333,288,45,0.8648648648648649,491,419,72,0.8533604887983707,577,492,85,0.8526863084922011
1346840,2025-09-11,195,168,27,0.8615384615384616,269,236,33,0.8773234200743495,333,294,39,0.8828828828828829
1401730,2025-04-10,1085,926,159,0.8534562211981567,1364,1165,199,0.8541055718475073,1520,1298,222,0.8539473684210527
1429880,2025-05-01,306,230,76,0.7516339869281046,383,300,83,0.783289817232376,431,350,81,0.8120649651972158
1601330,2025-05-07,281,219,62,0.7793594306049823,373,285,88,0.7640750670241286,438,333,105,0.7602739726027398
1602000,2025-05-20,161,151,10,0.937888198757764,264,245,19,0.928030303030303,341,321,20,0.9413489736070382
1778840,2025-05-08,185,161,24,0.8702702702702703,246,205,41,0.8333333333333334,331,278,53,0.8398791540785498
1779030,2025-04-01,31,31,0,1.0,41,41,0,1.0,52,51,1,0.9807692307692307
1793330,2025-11-06,87,73,14,0.8390804597701149,111,94,17,0.8468468468468469,134,117,17,0.8731343283582089
1917850,2025-04-30,88,47,41,0.5340909090909091,120,65,55,0.5416666666666666,131,73,58,0.5572519083969466
1940200,2024-03-25,90,68,22,0.7555555555555555,100,74,26,0.74,118,87,31,0.7372881355932204
1957760,2025-05-29,119,107,12,0.8991596638655462,158,140,18,0.8860759493670886,193,172,21,0.8911917098445595
2016460,2025-07-29,1660,1326,334,0.7987951807228916,2202,1794,408,0.8147138964577657,2611,2135,476,0.8176943699731903
2094910,2023-06-04,189,162,27,0.8571428571428571,234,206,28,0.8803418803418803,272,237,35,0.8713235294117647
2096030,2024-06-19,55,41,14,0.7454545454545455,70,55,15,0.7857142857142857,108,91,17,0.8425925925925926
2185030,2025-01-15,71,55,16,0.7746478873239436,98,82,16,0.8367346938775511,111,92,19,0.8288288288288288
2194730,2024-03-10,120,96,24,0.8,135,108,27,0.8,152,118,34,0.7763157894736842
2212670,2025-08-07,212,196,16,0.9245283018867925,301,279,22,0.9269102990033222,386,363,23,0.9404145077720207
2226430,2025-05-29,221,166,55,0.751131221719457,273,207,66,0.7582417582417582,317,240,77,0.7570977917981072
2240080,2025-03-26,1371,1316,55,0.9598832968636032,1738,1664,74,0.9574223245109321,2090,2004,86,0.9588516746411483
2286780,2024-05-16,166,148,18,0.891566265060241,207,178,29,0.8599033816425121,240,210,30,0.875
2342690,2025-03-11,84,67,17,0.7976190476190477,102,78,24,0.7647058823529411,117,89,28,0.7606837606837606
2368930,2025-07-10,247,241,6,0.9757085020242915,346,336,10,0.9710982658959537,442,428,14,0.9683257918552036
2390230,2025-03-31,166,165,1,0.9939759036144579,243,237,6,0.9753086419753086,310,302,8,0.9741935483870968
2402630,2025-11-12,26,22,4,0.8461538461538461,35,31,4,0.8857142857142857,43,39,4,0.9069767441860465
2428800,2026-01-12,51,50,1,0.9803921568627451,63,61,2,0.9682539682539683,79,77,2,0.9746835443037974
2487150,2025-09-23,433,348,85,0.8036951501154734,604,478,126,0.7913907284768212,798,626,172,0.7844611528822055
2654540,2024-07-26,184,143,41,0.7771739130434783,228,180,48,0.7894736842105263,256,198,58,0.7734375
2658510,2025-07-23,228,187,41,0.8201754385964912,337,276,61,0.8189910979228486,432,357,75,0.8263888888888888
2665460,2025-05-22,183,153,30,0.8360655737704918,243,198,45,0.8148148148148148,293,243,50,0.8293515358361775
2678830,2026-01-20,364,313,51,0.8598901098901099,584,517,67,0.8852739726027398,793,700,93,0.8827238335435057
2712380,2025-11-03,314,264,50,0.8407643312101911,462,392,70,0.8484848484848485,649,569,80,0.8767334360554699
2714620,2025-05-22,559,555,4,0.9928443649373881,899,892,7,0.9922135706340378,1147,1136,11,0.990409764603313
2718240,2025-03-31,79,75,4,0.9493670886075949,117,111,6,0.9487179487179487,148,140,8,0.9459459459459459
2744010,2025-03-21,195,188,7,0.9641025641025641,270,255,15,0.9444444444444444,317,299,18,0.943217665615142
2760790,2025-08-01,283,209,74,0.7385159010600707,358,264,94,0.7374301675977654,404,302,102,0.7475247524752475
2788520,2024-05-16,131,124,7,0.9465648854961832,162,150,12,0.9259259259259259,184,169,15,0.9184782608695652
2811530,2025-09-09,43,30,13,0.6976744186046512,58,38,20,0.6551724137931034,71,48,23,0.676056338028169
2816950,2024-07-16,975,885,90,0.9076923076923077,1397,1268,129,0.9076592698639943,1671,1512,159,0.9048473967684022
2817390,2025-04-26,40,32,8,0.8,57,45,12,0.7894736842105263,62,49,13,0.7903225806451613
2827680,2025-07-11,127,91,36,0.7165354330708661,158,108,50,0.6835443037974683,187,141,46,0.7540106951871658
