appid,t0_date,d7_total,d7_pos,d7_neg,d7_pos_ratio,d14_total,d14_pos,d14_neg,d14_pos_ratio,d30_total,d30_pos,d30_neg,d30_pos_ratio
2843190,2025-06-07,319,301,18,0.9435736677115988,466,434,32,0.9313304721030042,602,562,40,0.9335548172757475
2871440,2025-06-07,448,445,3,0.9933035714285714,650,645,5,0.9923076923076923,807,798,9,0.9888475836431226
2891020,2025-10-13,248,238,10,0.9596774193548387,331,320,11,0.9667673716012085,442,428,14,0.9683257918552036
2915380,2025-08-22,343,264,79,0.7696793002915452,426,325,101,0.7629107981220657,487,370,117,0.7597535934291582
2918500,2025-09-22,468,417,51,0.8910256410256411,802,695,107,0.8665835411471322,1068,941,127,0.8810861423220974
2923390,2024-06-17,271,254,17,0.9372693726937269,412,384,28,0.9320388349514563,556,522,34,0.9388489208633094
2949320,2025-09-18,1494,1325,169,0.8868808567603749,1902,1643,259,0.8638275499474237,2127,1823,304,0.8570756934649741
2957700,2024-11-29,314,302,12,0.9617834394904459,385,358,27,0.9298701298701298,433,401,32,0.9260969976905312
2988300,2025-05-22,164,152,12,0.926829268292683,255,235,20,0.9215686274509803,376,351,25,0.9335106382978723
3003460,2025-08-08,218,210,8,0.963302752293578,321,305,16,0.9501557632398754,410,388,22,0.9463414634146341
3035120,2025-08-07,890,876,14,0.9842696629213483,1535,1502,33,0.9785016286644951,2294,2241,53,0.9768962510897995
3036010,2025-05-23,388,311,77,0.8015463917525774,490,378,112,0.7714285714285715,540,413,127,0.7648148148148148
3047750,2025-08-21,261,250,11,0.9578544061302682,359,343,16,0.9554317548746518,446,423,23,0.9484304932735426
3058360,2025-08-25,97,91,6,0.9381443298969072,113,105,8,0.9292035398230089,130,122,8,0.9384615384615385
3064030,2025-08-07,144,135,9,0.9375,200,191,9,0.955,247,230,17,0.9311740890688259
3069120,2025-04-19,713,686,27,0.9621318373071529,1151,1108,43,0.9626411815812337,1544,1488,56,0.9637305699481865
3097300,2026-02-07,796,792,4,0.9949748743718593,1759,1754,5,0.9971574758385446,,,,
3115220,2025-09-16,1178,1152,26,0.9779286926994907,1756,1718,38,0.9783599088838268,2432,2383,49,0.9798519736842105
3124550,2025-05-02,67,59,8,0.8805970149253731,96,85,11,0.8854166666666666,136,124,12,0.9117647058823529
3136330,2025-07-31,85,81,4,0.9529411764705882,105,99,6,0.9428571428571428,129,121,8,0.937984496124031
3140120,2025-06-23,152,131,21,0.8618421052631579,190,161,29,0.8473684210526315,219,189,30,0.863013698630137
3151380,2025-05-27,147,137,10,0.9319727891156463,216,202,14,0.9351851851851852,280,262,18,0.9357142857142857
3177890,2025-09-16,554,505,49,0.9115523465703971,744,677,67,0.9099462365591398,896,816,80,0.9107142857142857
3180150,2025-11-03,432,393,39,0.9097222222222222,803,739,64,0.9202988792029888,1430,1332,98,0.9314685314685315
3204020,2025-06-04,94,94,0,1.0,120,120,0,1.0,155,153,2,0.9870967741935484
3208560,2025-09-08,276,257,19,0.9311594202898551,443,412,31,0.9300225733634312,534,491,43,0.9194756554307116
3213850,2025-04-30,404,365,39,0.9034653465346535,589,530,59,0.8998302207130731,783,712,71,0.909323116219668
3218530,2025-05-05,120,106,14,0.8833333333333333,163,145,18,0.8895705521472392,211,190,21,0.9004739336492891
3265070,2025-05-22,57,55,2,0.9649122807017544,93,90,3,0.967741935483871,120,109,11,0.9083333333333333
3266090,2025-11-20,123,96,27,0.7804878048780488,170,132,38,0.7764705882352941,204,162,42,0.7941176470588235
3327470,2025-03-27,59,33,26,0.559322033898305,77,37,40,0.4805194805194805,101,48,53,0.4752475247524752
3355800,2025-06-06,62,54,8,0.8709677419354839,91,79,12,0.8681318681318682,138,114,24,0.8260869565217391
3362960,2025-09-24,59,55,4,0.9322033898305084,75,70,5,0.9333333333333333,94,86,8,0.9148936170212766
3363270,2025-08-08,281,268,13,0.9537366548042705,444,417,27,0.9391891891891891,590,553,37,0.9372881355932203
3370870,2026-01-29,703,698,5,0.9928876244665719,2002,1976,26,0.987012987012987,3277,3237,40,0.9877937137625877
3399960,2025-06-17,194,175,19,0.9020618556701031,323,298,25,0.9226006191950464,460,435,25,0.9456521739130435
3404470,2025-05-14,545,506,39,0.9284403669724771,771,721,50,0.9351491569390402,955,896,59,0.9382198952879581
3422270,2025-10-27,42,40,2,0.9523809523809523,47,45,2,0.9574468085106383,62,57,5,0.9193548387096774
3483740,2025-06-16,1243,1165,78,0.9372485921158488,1830,1714,116,0.9366120218579235,2299,2139,160,0.9304045237059592
3496000,2025-06-23,328,277,51,0.8445121951219512,519,444,75,0.8554913294797688,688,588,100,0.8546511627906976
3511030,2025-03-31,128,128,0,1.0,282,281,1,0.9964539007092199,353,352,1,0.9971671388101983
3521410,2025-11-01,244,190,54,0.7786885245901639,326,268,58,0.8220858895705522,476,414,62,0.8697478991596639
3558400,2025-10-09,218,165,53,0.7568807339449541,322,232,90,0.7204968944099379,430,311,119,0.7232558139534884
3606830,2025-08-07,139,121,18,0.8705035971223022,164,139,25,0.8475609756097561,179,146,33,0.8156424581005587
3609750,2025-11-20,346,331,15,0.9566473988439307,640,618,22,0.965625,794,771,23,0.9710327455919395
3613270,2025-11-06,110,89,21,0.8090909090909091,167,135,32,0.8083832335329342,215,180,35,0.8372093023255814
3618390,2026-01-11,1024,717,307,0.7001953125,1322,940,382,0.7110438729198184,1541,1109,432,0.7196625567813109
3651310,2025-11-13,90,88,2,0.9777777777777777,136,134,2,0.9852941176470589,192,189,3,0.984375
3659410,2025-11-11,306,263,43,0.8594771241830066,418,336,82,0.8038277511961722,620,498,122,0.8032258064516129
3694480,2025-12-15,826,746,80,0.9031476997578692,1357,1240,117,0.9137803979366249,1814,1647,167,0.9079382579933848
3769130,2025-07-30,1596,1489,107,0.9329573934837093,2433,2283,150,0.938347718865598,3265,3064,201,0.93843797856049
3981100,2025-10-30,179,174,5,0.9720670391061452,533,520,13,0.975609756097561,1395,1370,25,0.982078853046595
4015530,2025-09-27,3,3,0,1.0,6,6,0,1.0,13,11,2,0.8461538461538461
4030290,2025-12-10,506,463,43,0.9150197628458498,545,495,50,0.908256880733945,593,533,60,0.8988195615514334
4067130,2025-12-11,24,22,2,0.9166666666666666,29,26,3,0.896551724137931,111,90,21,0.8108108108108109
